
2024/07/06 (16:59:17) | ERROR: Stall in Runner thread, restarting!

2024/07/06 (17:10:33) | ===> btop++ v.1.3.2
2024/07/06 (17:10:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (20:09:45) | ===> btop++ v.1.3.2
2024/07/06 (20:09:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (22:17:41) | ===> btop++ v.1.3.2
2024/07/06 (22:17:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (10:14:16) | ===> btop++ v.1.3.2
2024/07/07 (10:14:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (10:15:49) | ===> btop++ v.1.3.2
2024/07/07 (10:15:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (10:15:56) | ===> btop++ v.1.3.2
2024/07/07 (10:15:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (10:20:26) | ===> btop++ v.1.3.2
2024/07/07 (10:20:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (10:37:43) | ===> btop++ v.1.3.2
2024/07/07 (10:37:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (11:14:53) | ===> btop++ v.1.3.2
2024/07/07 (11:14:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (16:04:11) | ===> btop++ v.1.3.2
2024/07/07 (16:04:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (16:19:07) | ===> btop++ v.1.3.2
2024/07/07 (16:19:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (19:41:14) | ===> btop++ v.1.3.2
2024/07/07 (19:41:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (19:58:21) | ===> btop++ v.1.3.2
2024/07/07 (19:58:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (20:15:36) | ===> btop++ v.1.3.2
2024/07/07 (20:15:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (21:41:56) | ===> btop++ v.1.3.2
2024/07/07 (21:41:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (00:49:21) | ===> btop++ v.1.3.2
2024/07/08 (00:49:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (11:29:04) | ===> btop++ v.1.3.2
